Mid-year population estimates: Scotland and its NHS Board areas1 by single year of age and sex: 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persons (continued),,,
Code,Persons,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S92000003,Scotland,"5,077,440","66,230","64,784","65,477","64,038","61,931","63,255","64,548","66,336","64,896","63,007","58,762","58,256","63,247","64,294","65,948","71,031","76,260","80,620","80,589","83,483","85,540","86,335","84,394","87,589","85,585","83,452","81,902","81,246","79,201","77,310","74,935","72,679","71,521","68,532","68,051","66,927","64,624","66,763","67,479","70,002","73,009","79,821","61,726","59,500","61,896","60,999","57,571","54,822","57,115","57,480","57,419","56,702","56,263","55,627","54,853","54,478","56,350","56,304","55,792","54,978","53,644","53,804","54,673","52,725","52,259","50,623","52,984","52,441","54,510","37,416","35,449","37,114","38,194","39,609","38,173","35,989","33,505","31,535","29,713","27,399","24,938","21,810","19,997","17,383","15,208","12,991","10,835","9,234","7,512","5,309","16,700"
S08000001,Ayrshire and Arran,"374,900","4,854","4,703","4,876","4,804","4,738","4,808","5,147","5,090","4,919","4,823","4,516","4,426","5,057","5,038","5,150","5,471","5,752","6,044","5,886","5,753","5,707","5,886","5,582","5,984","5,758","5,373","5,279","5,429","5,324","5,378","5,157","5,037","4,936","4,901","4,927","4,976","4,780","4,904","4,994","5,319","5,543","6,153","4,701","4,686","4,845","4,817","4,484","4,182","4,394","4,324","4,465","4,200","4,215","4,193","4,089","4,207","4,190","4,231","4,199","4,041","4,057","3,958","4,176","3,959","3,878","3,860","4,112","4,118","4,190","2,898","2,822","2,958","2,972","3,043","2,950","2,705","2,526","2,379","2,206","2,041","1,822","1,537","1,494","1,204","1,121",900,755,629,483,374,"1,128"
S08000002,Borders,"102,130","1,153","1,150","1,177","1,169","1,165","1,223","1,234","1,225","1,232","1,275","1,081","1,161","1,209","1,292","1,254","1,314","1,457","1,531","1,519","1,487","1,447","1,409","1,377","1,387","1,369","1,409","1,365","1,365","1,402","1,370","1,355","1,368","1,380","1,369","1,326","1,281","1,211","1,328","1,367","1,448","1,482","1,770","1,335","1,236","1,348","1,322","1,126","1,057","1,174","1,230","1,168","1,117","1,126","1,169","1,087","1,121","1,128","1,163","1,152","1,118","1,178","1,151","1,209","1,242","1,197","1,187","1,210","1,268","1,321",912,797,898,933,"1,059",964,918,882,820,749,768,648,558,557,470,422,374,295,235,209,132,497
S08000003,Dumfries and Galloway,"145,360","1,830","1,742","1,736","1,814","1,668","1,752","1,817","1,844","1,837","1,791","1,633","1,589","1,802","1,886","1,866","1,937","2,057","2,250","2,159","1,990","1,913","1,982","2,046","2,154","2,083","2,055","2,162","2,027","2,029","1,937","1,930","1,877","1,956","1,823","1,808","1,844","1,843","1,896","1,913","1,969","2,068","2,225","1,765","1,772","1,856","1,927","1,805","1,735","1,715","1,640","1,669","1,724","1,674","1,619","1,762","1,732","1,721","1,789","1,782","1,792","1,729","1,840","1,753","1,707","1,641","1,716","1,756","1,695","1,771","1,251","1,194","1,232","1,255","1,317","1,178","1,176","1,073",990,988,894,805,700,666,539,500,402,334,254,238,166,581
S08000004,Fife,"345,170","4,501","4,553","4,505","4,418","4,354","4,376","4,540","4,637","4,606","4,461","3,962","4,038","4,403","4,361","4,479","4,749","5,070","5,349","5,687","5,785","5,808","5,723","5,703","5,955","5,667","5,524","5,448","5,358","5,281","5,120","5,009","4,818","4,820","4,744","4,633","4,478","4,498","4,601","4,714","4,926","5,210","5,815","4,444","4,206","4,348","4,158","3,908","3,698","3,741","3,799","3,678","3,770","3,757","3,544","3,561","3,504","3,516","3,551","3,699","3,507","3,457","3,611","3,798","3,613","3,667","3,456","3,725","3,727","3,814","2,537","2,396","2,501","2,572","2,841","2,630","2,544","2,381","2,136","2,010","1,782","1,725","1,504","1,352","1,152","1,087",861,721,609,500,369,"1,016"
S08000005,Forth Valley,"271,340","3,479","3,249","3,321","3,404","3,241","3,368","3,410","3,596","3,482","3,503","3,286","3,315","3,579","3,666","3,833","4,113","4,290","4,369","4,483","4,418","4,485","4,579","4,415","4,502","4,321","4,217","4,194","4,243","4,079","3,899","3,818","3,717","3,672","3,574","3,586","3,558","3,460","3,768","3,803","3,906","4,142","4,680","3,472","3,382","3,537","3,427","3,263","3,087","3,068","3,253","3,227","3,256","3,052","3,100","2,941","2,912","3,011","2,960","2,998","2,905","2,850","2,802","2,760","2,833","2,795","2,647","2,796","2,678","2,938","1,964","1,825","1,831","1,936","1,961","2,034","1,726","1,688","1,629","1,463","1,374","1,264","1,141",981,824,729,608,561,488,326,216,798
S08000006,Grampian,"502,370","6,545","6,365","6,510","6,288","6,123","6,364","6,454","6,490","6,579","6,470","5,980","6,057","6,322","6,338","6,594","7,021","7,317","8,050","7,962","8,502","8,544","8,735","8,645","8,670","8,471","8,699","8,273","8,220","8,246","7,969","7,822","7,568","7,584","7,360","7,478","7,035","6,896","7,290","7,258","7,549","7,797","8,457","6,511","5,880","6,077","6,062","5,739","5,264","5,574","5,387","5,420","5,391","5,314","5,171","5,209","5,115","5,290","5,115","5,113","5,033","5,048","4,887","4,896","4,790","4,670","4,536","4,703","4,736","5,004","3,291","3,068","3,328","3,504","3,627","3,429","3,329","3,108","2,946","2,839","2,610","2,379","2,242","1,946","1,786","1,605","1,343","1,078",994,754,598,"1,734"
