Mid-year population estimates: Scotland by single year of age and sex: 1981 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persons (continued),,,
Persons,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
1981,"5,180,200","68,529","66,723","64,065","59,568","59,023","64,515","65,573","67,271","72,378","77,976","82,869","83,412","86,712","89,021","90,698","90,123","95,046","93,304","91,049","89,792","88,089","85,924","83,708","80,419","77,292","75,098","71,809","71,213","69,830","67,367","69,188","69,696","72,145","75,327","82,045","63,553","61,031","63,508","62,713","59,363","56,522","59,017","59,183","59,298","58,722","58,455","57,950","57,355","57,279","59,525","59,467","59,515","58,999","58,128","58,560","59,963","58,221","58,814","57,429","60,553","61,311","64,003","45,418","43,456","46,233","48,487","51,641","51,075","49,422","47,527","45,879","44,713","42,957","40,632","37,213","35,356","32,585","29,923","26,976","24,272","21,877","19,381","15,848","13,647","11,778","10,157","8,229","6,795","5,579","4,339","13,571",
1982,"5,164,540","66,594","68,063","66,389","63,810","59,442","58,911","64,300","65,387","66,999","72,148","77,717","82,520","83,153","86,426","88,776","90,423","89,487","94,327","92,692","90,580","89,395","87,296","85,086","82,347","79,203","76,278","74,424","71,219","70,770","69,262","66,987","68,837","69,352","71,730","74,974","81,653","63,168","60,794","63,214","62,465","59,075","56,276","58,694","58,948","59,053","58,404","58,137","57,642","57,019","56,894","59,093","59,068","59,047","58,469","57,597","57,989","59,296","57,503","57,994","56,588","59,640","60,225","62,807","44,430","42,461","45,106","47,197","50,124","49,390","47,598","45,628","43,955","42,615","40,713","38,424","34,988","33,011","30,254","27,607","24,737","22,020","19,682","17,295","13,930","11,934","10,173","8,634","6,863","5,547","4,459","13,709",
1983,"5,148,120","65,110","66,015","67,723","66,026","63,633","59,327","58,774","64,236","65,167","66,811","72,062","77,516","82,323","82,872","86,161","88,452","89,861","88,696","93,389","91,830","90,201","88,691","86,458","83,781","81,138","78,329","75,359","73,992","70,460","70,178","68,752","66,618","68,326","68,902","71,358","74,510","81,315","62,819","60,540","62,905","62,217","58,759","56,033","58,432","58,773","58,766","58,179","57,777","57,303","56,710","56,483","58,659","58,654","58,506","57,934","57,004","57,320","58,518","56,768","57,088","55,652","58,655","59,089","61,567","43,354","41,351","43,875","45,825","48,538","47,677","45,800","43,712","41,963","40,488","38,513","36,170","32,724","30,693","27,984","25,451","22,570","19,909","17,656","15,411","12,186","10,391","8,719","7,320","5,703","4,482","14,193",
1984,"5,138,880","63,669","64,796","65,713","67,520","65,844","63,560","59,244","58,710","64,015","65,132","66,682","71,908","77,315","82,096","82,641","85,948","88,037","89,271","87,947","92,833","91,716","89,786","87,896","85,461","82,889","80,504","77,700","75,097","73,600","70,288","69,724","68,558","66,200","68,049","68,648","71,241","74,219","81,071","62,594","60,375","62,783","61,966","58,548","55,820","58,243","58,523","58,625","57,918","57,500","57,001","56,403","56,147","58,250","58,248","58,029","57,456","56,379","56,680","57,795","56,046","56,228","54,774","57,638","57,878","60,346","42,355","40,272","42,601","44,462","46,910","45,916","43,998","41,767","39,976","38,431","36,336","33,935","30,471","28,498","25,762","23,254","20,556","17,954","15,793","13,640","10,583","8,952","7,397","6,137","4,646","14,557",
1985,"5,127,890","65,438","63,134","64,249","65,278","67,156","65,600","63,454","59,144","58,494","63,864","64,990","66,543","71,744","77,109","81,871","82,412","85,483","87,416","88,367","87,105","92,372","90,833","88,592","86,356","84,378","81,926","79,713","77,173","74,715","73,134","69,964","69,443","68,356","65,903","67,868","68,494","71,050","74,034","80,898","62,476","60,304","62,631","61,811","58,385","55,640","57,923","58,338","58,447","57,645","57,273","56,695","56,111","55,823","57,828","57,868","57,541","56,922","55,709","56,040","57,083","55,246","55,307","53,844","56,577","56,612","59,040","41,197","39,097","41,334","43,025","45,150","44,047","42,051","39,715","37,872","36,291","34,135","31,720","28,321","26,341","23,608","21,144","18,555","16,069","14,023","11,979","9,111","7,659","6,221","5,055","14,998",
1986,"5,111,760","66,348","65,086","62,805","63,935","65,153","66,892","65,444","63,277","59,038","58,389","63,646","64,759","66,339","71,524","76,886","81,597","82,063","84,911","86,589","87,766","86,913","91,525","89,495","87,005","85,028","83,437","80,979","79,160","76,651","74,089","72,528","69,529","69,028","67,909","65,424","67,560","68,075","70,744","73,663","80,508","62,230","60,022","62,381","61,656","58,146","55,332","57,679","58,052","58,078","57,339","56,917","56,329","55,696","55,375","57,308","57,376","57,001","56,191","55,000","55,222","56,246","54,411","54,295","52,778","55,431","55,252","57,576","39,912","37,870","39,903","41,390","43,287","42,055","40,016","37,600","35,639","34,009","31,794","29,334","25,985","24,106","21,367","19,010","16,531","14,141","12,220","10,325","7,644","6,343","5,056","15,207",
1987,"5,099,020","65,484","66,002","64,641","62,379","63,646","64,868","66,617","65,203","63,152","58,905","58,332","63,516","64,520","66,182","71,278","76,667","81,368","81,509","84,281","86,073","87,485","86,193","90,183","87,764","85,438","83,681","82,518","80,263","78,360","75,873","73,441","72,088","69,089","68,615","67,387","65,043","67,195","67,791","70,414","73,376","80,203","62,010","59,806","62,110","61,425","57,882","55,127","57,440","57,778","57,772","57,036","56,593","55,996","55,261","54,943","56,797","56,840","56,386","55,606","54,344","54,554","55,495","53,556","53,270","51,704","54,240","53,910","56,139","38,691","36,691","38,529","39,808","41,493","40,143","38,025","35,586","33,574","31,842","29,558","27,128","23,867","22,051","19,387","17,137","14,749","12,455","10,663","8,923","6,403","5,247","16,027",
1988,"5,077,440","66,230","64,784","65,477","64,038","61,931","63,255","64,548","66,336","64,896","63,007","58,762","58,256","63,247","64,294","65,948","71,031","76,260","80,620","80,589","83,483","85,540","86,335","84,394","87,589","85,585","83,452","81,902","81,246","79,201","77,310","74,935","72,679","71,521","68,532","68,051","66,927","64,624","66,763","67,479","70,002","73,009","79,821","61,726","59,500","61,896","60,999","57,571","54,822","57,115","57,480","57,419","56,702","56,263","55,627","54,853","54,478","56,350","56,304","55,792","54,978","53,644","53,804","54,673","52,725","52,259","50,623","52,984","52,441","54,510","37,416","35,449","37,114","38,194","39,609","38,173","35,989","33,505","31,535","29,713","27,399","24,938","21,810","19,997","17,383","15,208","12,991","10,835","9,234","7,512","5,309","16,700",
1989,"5,078,190","64,188","66,224","64,930","65,598","64,121","62,004","63,368","64,720","66,508","65,053","63,156","58,990","58,372","63,270","64,324","65,953","70,858","75,722","79,867","79,997","82,961","84,756","85,056","82,532","85,688","84,220","82,393","81,449","80,813","78,871","76,978","74,695","72,662","71,372","68,391","68,085","66,900","64,602","66,745","67,406","69,976","73,019","79,858","61,764","59,485","61,784","60,880","57,503","54,714","57,014","57,310","57,215","56,529","56,064","55,445","54,605","54,122","55,970","55,887","55,364","54,468","53,136","53,141","53,877","51,916","51,287","49,667","51,744","51,178","52,899","36,234","34,259","35,713","36,633","37,760","36,248","34,028","31,404","29,476","27,689","25,294","22,810","19,748","17,926","15,502","13,458","11,386","9,398","7,917","6,301","17,387",
